no;season;month;date;time;icao;wind_kt;wind_kt_10;gust;vis_m;vis_m_5000;sigwx_1;sigwx_2;sigwx;sigwx_ket;cb_flag
12;Hujan;Jan;01/01/2024;05.30;Sultan Hasanuddin (WAAA);9;;FALSE;8000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
13;Hujan;Jan;01/01/2024;06.00;Sultan Hasanuddin (WAAA);10;;FALSE;9000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
14;Hujan;Jan;01/01/2024;06.30;Sultan Hasanuddin (WAAA);9;;FALSE;9000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
15;Hujan;Jan;01/01/2024;07.00;Sultan Hasanuddin (WAAA);5;;FALSE;8000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
16;Hujan;Jan;01/01/2024;07.30;Sultan Hasanuddin (WAAA);3;;FALSE;3000;3000;TSRA;;TSRA ;Thunderstorm Rain;CB
17;Hujan;Jan;01/01/2024;08.00;Sultan Hasanuddin (WAAA);9;;FALSE;500;500;+TSRA;;+TSRA;Heavy Thunderstorm Rain;CB
106;Hujan;Feb;01/02/2024;06.00;Sultan Hasanuddin (WAAA);9;;FALSE;3000;3000;+RA;;+RA;Heavy Rain;CB
108;Hujan;Feb;01/02/2024;13.30;Sultan Hasanuddin (WAAA);5;;FALSE;8000;;TS;;TS;Thunderstorm;CB
123;Hujan;Feb;01/02/2024;14.00;Sultan Hasanuddin (WAAA);5;;FALSE;8000;;TS;;TS;Thunderstorm;CB
124;Hujan;Feb;01/02/2024;14.30;Sultan Hasanuddin (WAAA);4;;FALSE;8000;;TS;;TS;Thunderstorm;CB
125;Peralihan 1;Mar;01/03/2024;06.00;Sultan Hasanuddin (WAAA);9;;FALSE;9999;;TS;;TS;Thunderstorm;CB
155;Peralihan 1;Mar;01/03/2024;06.30;Sultan Hasanuddin (WAAA);8;;FALSE;9999;;TS;;TS;Thunderstorm;CB
156;Peralihan 1;Mar;01/03/2024;07.00;Sultan Hasanuddin (WAAA);8;;FALSE;9999;;TS;;TS;Thunderstorm;CB
159;Peralihan 1;Mar;01/03/2024;08.00;Sultan Hasanuddin (WAAA);7;;FALSE;7000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
160;Peralihan 1;Mar;01/03/2024;08.30;Sultan Hasanuddin (WAAA);7;;FALSE;2500;2500;TSRA;;TSRA ;Thunderstorm Rain;CB
161;Peralihan 1;Mar;01/03/2024;09.00;Sultan Hasanuddin (WAAA);7;;FALSE;1000;1000;+TSRA;;+TSRA;Heavy Thunderstorm Rain;CB
199;Kemarau;Jul;01/07/2024;10.00;Sultan Hasanuddin (WAAA);5;;FALSE;2000;2000;+TSRA;;+TSRA;Heavy Thunderstorm Rain;CB
353;Kemarau;Jul;01/07/2024;10.30;Sultan Hasanuddin (WAAA);8;;FALSE;2000;2000;+TSRA;;+TSRA;Heavy Thunderstorm Rain;CB
354;Kemarau;Jul;01/07/2024;11.00;Sultan Hasanuddin (WAAA);4;;FALSE;3000;3000;TSRA;;TSRA ;Thunderstorm Rain;CB
355;Peralihan 2;Nov;01/11/2024;09.00;Sultan Hasanuddin (WAAA);7;;FALSE;5000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
543;Peralihan 2;Nov;01/11/2024;10.00;Sultan Hasanuddin (WAAA);2;;FALSE;3000;3000;TSRA;;TSRA ;Thunderstorm Rain;CB
545;Peralihan 2;Nov;01/11/2024;10.30;Sultan Hasanuddin (WAAA);5;;FALSE;3000;3000;TSRA;;TSRA ;Thunderstorm Rain;CB
546;Peralihan 2;Nov;01/11/2024;11.00;Sultan Hasanuddin (WAAA);5;;FALSE;5000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
547;Peralihan 2;Nov;01/11/2024;11.30;Sultan Hasanuddin (WAAA);3;;FALSE;6000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
548;Peralihan 2;Nov;01/11/2024;12.00;Sultan Hasanuddin (WAAA);4;;FALSE;7000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
549;Peralihan 2;Nov;01/11/2024;12.30;Sultan Hasanuddin (WAAA);3;;FALSE;6000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
550;Hujan;Des;01/12/2024;01.00;Sultan Hasanuddin (WAAA);10;;FALSE;800;800;+RA;;+RA;Heavy Rain;CB
574;Hujan;Des;01/12/2024;17.00;Sultan Hasanuddin (WAAA);2;;FALSE;7000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
575;Hujan;Des;01/12/2024;17.30;Sultan Hasanuddin (WAAA);3;;FALSE;3000;3000;TSRA;;TSRA ;Thunderstorm Rain;CB
594;Hujan;Des;01/12/2024;18.00;Sultan Hasanuddin (WAAA);2;;FALSE;3000;3000;+RA;;+RA;Heavy Rain;CB
608;Hujan;Feb;02/02/2024;21.30;Sultan Hasanuddin (WAAA);8;;FALSE;7000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
702;Peralihan 1;Apr;02/04/2024;09.30;Sultan Hasanuddin (WAAA);3;;FALSE;9000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
703;Peralihan 1;Apr;02/04/2024;10.00;Sultan Hasanuddin (WAAA);6;;FALSE;8000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
721;Peralihan 1;Apr;02/04/2024;11.00;Sultan Hasanuddin (WAAA);6;;FALSE;7000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
774;Peralihan 1;Apr;02/04/2024;11.30;Sultan Hasanuddin (WAAA);7;;FALSE;4000;4000;TSRA;;TSRA ;Thunderstorm Rain;CB
775;Peralihan 1;Apr;02/04/2024;12.00;Sultan Hasanuddin (WAAA);7;;FALSE;7000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
777;Peralihan 1;Apr;02/04/2024;13.30;Sultan Hasanuddin (WAAA);5;;FALSE;6000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
778;Peralihan 1;Apr;02/04/2024;14.00;Sultan Hasanuddin (WAAA);5;;FALSE;6000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
779;Peralihan 1;Mei;02/05/2024;06.30;Sultan Hasanuddin (WAAA);4;;FALSE;4000;4000;TSRA;;TSRA ;Thunderstorm Rain;CB
782;Kemarau;Agu;02/08/2024;22.30;Sultan Hasanuddin (WAAA);1;;FALSE;7000;;BR;;BR;Mist;
783;Peralihan 2;Okt;02/10/2024;14.00;Sultan Hasanuddin (WAAA);4;;FALSE;8000;;TS;;TS;Thunderstorm;CB
815;Peralihan 2;Okt;02/10/2024;14.30;Sultan Hasanuddin (WAAA);4;;FALSE;8000;;TS;;TS;Thunderstorm;CB
816;Peralihan 2;Okt;02/10/2024;15.00;Sultan Hasanuddin (WAAA);9;;FALSE;8000;;TS;;TS;Thunderstorm;CB
833;Peralihan 2;Nov;02/11/2024;05.00;Sultan Hasanuddin (WAAA);10;;FALSE;9999;;TS;;TS;Thunderstorm;CB
859;Peralihan 2;Nov;02/11/2024;05.30;Sultan Hasanuddin (WAAA);8;;FALSE;9999;;TS;;TS;Thunderstorm;CB
935;Peralihan 2;Nov;02/11/2024;06.00;Sultan Hasanuddin (WAAA);5;;FALSE;9999;;TS;;TS;Thunderstorm;CB
989;Peralihan 2;Nov;02/11/2024;06.30;Sultan Hasanuddin (WAAA);4;;FALSE;9999;;TS;;TS;Thunderstorm;CB
1068;Peralihan 2;Nov;02/11/2024;07.00;Sultan Hasanuddin (WAAA);3;;FALSE;9999;;TS;;TS;Thunderstorm;CB
1069;Peralihan 2;Nov;02/11/2024;07.30;Sultan Hasanuddin (WAAA);8;;FALSE;9999;;TS;;TS;Thunderstorm;CB
1070;Hujan;Des;02/12/2024;17.30;Sultan Hasanuddin (WAAA);2;;FALSE;7000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
1098;Hujan;Des;02/12/2024;18.00;Sultan Hasanuddin (WAAA);9;;FALSE;6000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
1099;Hujan;Des;02/12/2024;18.30;Sultan Hasanuddin (WAAA);3;;FALSE;6000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
1100;Hujan;Des;02/12/2024;19.00;Sultan Hasanuddin (WAAA);3;;FALSE;6000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
1101;Hujan;Des;02/12/2024;19.30;Sultan Hasanuddin (WAAA);7;;FALSE;5000;;TSRA;;TSRA ;Thunderstorm Rain;CB
1102;Hujan;Des;02/12/2024;20.00;Sultan Hasanuddin (WAAA);7;;FALSE;6000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
1103;Hujan;Des;02/12/2024;20.30;Sultan Hasanuddin (WAAA);6;;FALSE;6000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
1171;Hujan;Jan;03/01/2024;08.30;Sultan Hasanuddin (WAAA);7;;FALSE;8000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
1172;Hujan;Jan;03/01/2024;09.30;Sultan Hasanuddin (WAAA);2;;FALSE;5000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
1173;Hujan;Jan;03/01/2024;10.00;Sultan Hasanuddin (WAAA);5;;FALSE;3000;3000;TSRA;;TSRA ;Thunderstorm Rain;CB
1174;Hujan;Jan;03/01/2024;10.30;Sultan Hasanuddin (WAAA);6;;FALSE;3000;3000;TSRA;;TSRA ;Thunderstorm Rain;CB
1175;Kemarau;Agu;31/08/2024;07.00;Sultan Hasanuddin (WAAA);10;;FALSE;9999;;FU;;FU;Smoke;
1176;Peralihan 1;Mar;01/03/2024;08.00;I Gusti Ngurah Rai (WADD);7;;FALSE;8000;;TS;;TS;Thunderstorm;CB
1177;Peralihan 1;Mar;01/03/2024;08.30;I Gusti Ngurah Rai (WADD);6;;FALSE;8000;;TS;;TS;Thunderstorm;CB
1196;Peralihan 1;Mar;01/03/2024;09.00;I Gusti Ngurah Rai (WADD);7;;FALSE;9999;;TS;;TS;Thunderstorm;CB
1198;Peralihan 1;Apr;01/04/2024;16.30;I Gusti Ngurah Rai (WADD);6;;FALSE;7000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
1199;Peralihan 1;Apr;01/04/2024;17.00;I Gusti Ngurah Rai (WADD);5;;FALSE;7000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
1200;Peralihan 1;Apr;01/04/2024;17.30;I Gusti Ngurah Rai (WADD);8;;FALSE;4000;4000;TSRA;;TSRA ;Thunderstorm Rain;CB
17339;Peralihan 1;Apr;01/04/2024;18.00;I Gusti Ngurah Rai (WADD);2;;FALSE;7000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
17624;Peralihan 1;Apr;01/04/2024;18.30;I Gusti Ngurah Rai (WADD);5;;FALSE;9000;;TS;;TS;Thunderstorm;CB
17625;Peralihan 1;Apr;01/04/2024;19.00;I Gusti Ngurah Rai (WADD);4;;FALSE;9999;;TS;;TS;Thunderstorm;CB
17626;Peralihan 1;Apr;01/04/2024;19.30;I Gusti Ngurah Rai (WADD);7;;FALSE;9999;;TS;;TS;Thunderstorm;CB
17630;Peralihan 1;Apr;01/04/2024;20.00;I Gusti Ngurah Rai (WADD);6;;FALSE;9999;;TS;;TS;Thunderstorm;CB
17631;Peralihan 1;Apr;01/04/2024;20.30;I Gusti Ngurah Rai (WADD);4;;FALSE;7000;;-TS;;-TS;Light Thunderstorm;CB
17632;Peralihan 1;Apr;01/04/2024;21.00;I Gusti Ngurah Rai (WADD);5;;FALSE;7000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
17689;Peralihan 1;Apr;01/04/2024;21.30;I Gusti Ngurah Rai (WADD);10;;FALSE;3000;3000;TSRA;;TSRA ;Thunderstorm Rain;CB
17690;Peralihan 1;Apr;01/04/2024;22.00;I Gusti Ngurah Rai (WADD);5;;FALSE;7000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
17691;Kemarau;Jul;01/07/2024;00.30;I Gusti Ngurah Rai (WADD);8;;FALSE;3000;3000;+RA;;+RA;Heavy Rain;CB
17692;Hujan;Feb;02/02/2024;15.00;I Gusti Ngurah Rai (WADD);8;;FALSE;9999;;TS;;TS;Thunderstorm;CB
17693;Peralihan 1;Mar;02/03/2024;12.30;I Gusti Ngurah Rai (WADD);7;;FALSE;1500;1500;+TSRA;;+TSRA;Heavy Thunderstorm Rain;CB
17694;Peralihan 1;Mar;02/03/2024;13.00;I Gusti Ngurah Rai (WADD);7;;FALSE;2000;2000;TSRA;;TSRA ;Thunderstorm Rain;CB
17695;Peralihan 1;Mar;02/03/2024;15.00;I Gusti Ngurah Rai (WADD);1;;FALSE;9999;;TS;;TS;Thunderstorm;CB
17696;Peralihan 1;Mar;02/03/2024;15.30;I Gusti Ngurah Rai (WADD);1;;FALSE;9999;;TS;;TS;Thunderstorm;
17697;Peralihan 1;Mar;02/03/2024;22.00;I Gusti Ngurah Rai (WADD);2;;FALSE;8000;;TS;;TS;Thunderstorm;CB
17698;Peralihan 1;Mar;02/03/2024;22.30;I Gusti Ngurah Rai (WADD);4;;FALSE;9000;;TS;;TS;Thunderstorm;CB
17699;Peralihan 1;Mar;02/03/2024;23.00;I Gusti Ngurah Rai (WADD);1;;FALSE;8000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
17700;Kemarau;Jul;02/07/2024;23.30;I Gusti Ngurah Rai (WADD);7;;FALSE;3000;3000;+RA;;+RA;Heavy Rain;CB
17801;Hujan;Jan;03/01/2024;08.30;I Gusti Ngurah Rai (WADD);5;;FALSE;9999;;TS;;TS;Thunderstorm;CB
17813;Hujan;Jan;03/01/2024;09.00;I Gusti Ngurah Rai (WADD);3;;FALSE;9999;;TS;;TS;Thunderstorm;CB
17814;Hujan;Jan;03/01/2024;09.30;I Gusti Ngurah Rai (WADD);4;;FALSE;9999;;TS;;TS;Thunderstorm;CB
17815;Hujan;Feb;03/02/2024;04.00;I Gusti Ngurah Rai (WADD);7;;FALSE;9999;;TS;;TS;Thunderstorm;CB
17816;Hujan;Feb;03/02/2024;04.30;I Gusti Ngurah Rai (WADD);9;;FALSE;9999;;TS;;TS;Thunderstorm;CB
18040;Hujan;Feb;03/02/2024;05.00;I Gusti Ngurah Rai (WADD);11;11;FALSE;9999;;TS;;TS;Thunderstorm;CB
18041;Hujan;Feb;03/02/2024;05.30;I Gusti Ngurah Rai (WADD);9;;FALSE;9999;;TS;;TS;Thunderstorm;CB
18166;Hujan;Feb;03/02/2024;10.00;I Gusti Ngurah Rai (WADD);13;13;FALSE;9999;;TS;;TS;Thunderstorm;CB
18167;Hujan;Feb;03/02/2024;10.30;I Gusti Ngurah Rai (WADD);11;11;FALSE;9999;;TS;;TS;Thunderstorm;CB
18209;Hujan;Feb;03/02/2024;11.00;I Gusti Ngurah Rai (WADD);8;;FALSE;9999;;TS;;TS;Thunderstorm;CB
18210;Peralihan 1;Apr;03/04/2024;21.30;I Gusti Ngurah Rai (WADD);7;;FALSE;9999;;TS;;TS;Thunderstorm;CB
18214;Peralihan 1;Apr;03/04/2024;22.00;I Gusti Ngurah Rai (WADD);4;;FALSE;2000;2000;+TSRA;;+TSRA;Heavy Thunderstorm Rain;CB
18215;Peralihan 1;Apr;03/04/2024;22.30;I Gusti Ngurah Rai (WADD);6;;FALSE;300;300;+TSRA;;+TSRA;Heavy Thunderstorm Rain;CB
18228;Peralihan 1;Apr;03/04/2024;23.00;I Gusti Ngurah Rai (WADD);9;;TRUE;200;200;+TSRA;;+TSRA;Heavy Thunderstorm Rain;CB
18229;Peralihan 1;Apr;03/04/2024;23.30;I Gusti Ngurah Rai (WADD);8;;FALSE;2000;2000;+TSRA;;+TSRA;Heavy Thunderstorm Rain;CB
18230;Kemarau;Jul;03/07/2024;10.00;I Gusti Ngurah Rai (WADD);15;15;FALSE;2000;2000;+RA;;+RA;Heavy Rain;
18372;Hujan;Jan;04/01/2024;18.00;I Gusti Ngurah Rai (WADD);5;;FALSE;9999;;TS;;TS;Thunderstorm;CB
18424;Hujan;Jan;04/01/2024;18.30;I Gusti Ngurah Rai (WADD);6;;FALSE;5000;;TSRA;;TSRA ;Thunderstorm Rain;CB
18477;Hujan;Jan;04/01/2024;19.00;I Gusti Ngurah Rai (WADD);7;;FALSE;2000;2000;+TSRA;;+TSRA;Heavy Thunderstorm Rain;CB
18682;Hujan;Jan;04/01/2024;19.30;I Gusti Ngurah Rai (WADD);7;;FALSE;2000;2000;+TSRA;;+TSRA;Heavy Thunderstorm Rain;CB
18683;Hujan;Jan;04/01/2024;20.00;I Gusti Ngurah Rai (WADD);4;;FALSE;3000;3000;TSRA;;TSRA ;Thunderstorm Rain;CB
18684;Hujan;Jan;04/01/2024;20.30;I Gusti Ngurah Rai (WADD);2;;FALSE;6000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
18721;Hujan;Jan;04/01/2024;21.00;I Gusti Ngurah Rai (WADD);2;;FALSE;8000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
18722;Hujan;Jan;04/01/2024;21.30;I Gusti Ngurah Rai (WADD);2;;FALSE;9000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
18723;Peralihan 1;Apr;04/04/2024;00.00;I Gusti Ngurah Rai (WADD);10;;FALSE;3000;3000;TSRA;;TSRA ;Thunderstorm Rain;CB
18724;Kemarau;Jun;04/06/2024;21.30;I Gusti Ngurah Rai (WADD);1;;FALSE;5000;;BR;;BR;Mist;
18733;Kemarau;Jun;04/06/2024;22.00;I Gusti Ngurah Rai (WADD);2;;FALSE;5000;;BR;;BR;Mist;
18734;Hujan;Des;04/12/2024;05.30;I Gusti Ngurah Rai (WADD);3;;FALSE;9999;;TS;;TS;Thunderstorm;CB
18735;Hujan;Des;04/12/2024;06.00;I Gusti Ngurah Rai (WADD);5;;FALSE;9999;;TS;;TS;Thunderstorm;CB
18760;Hujan;Des;04/12/2024;17.30;I Gusti Ngurah Rai (WADD);11;11;FALSE;5000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
18853;Hujan;Des;04/12/2024;18.00;I Gusti Ngurah Rai (WADD);5;;FALSE;8000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
18854;Hujan;Des;04/12/2024;18.30;I Gusti Ngurah Rai (WADD);3;;FALSE;9000;;TS;;TS;Thunderstorm;CB
18855;Hujan;Des;04/12/2024;19.00;I Gusti Ngurah Rai (WADD);2;;FALSE;9999;;TS;;TS;Thunderstorm;CB
18856;Hujan;Des;04/12/2024;20.00;I Gusti Ngurah Rai (WADD);3;;FALSE;4000;4000;TSRA;;TSRA ;Thunderstorm Rain;CB
18857;Hujan;Des;04/12/2024;20.30;I Gusti Ngurah Rai (WADD);3;;FALSE;7000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
18969;Hujan;Des;04/12/2024;21.00;I Gusti Ngurah Rai (WADD);6;;FALSE;7000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
18970;Hujan;Des;04/12/2024;21.30;I Gusti Ngurah Rai (WADD);4;;FALSE;7000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
18971;Hujan;Des;04/12/2024;22.00;I Gusti Ngurah Rai (WADD);5;;FALSE;7000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
18973;Hujan;Des;04/12/2024;22.30;I Gusti Ngurah Rai (WADD);3;;FALSE;6000;;-TSRA;;-TSRA;Light Thunderstorm Rain;CB
18974;Hujan;Des;04/12/2024;23.00;I Gusti Ngurah Rai (WADD);4;;FALSE;4000;4000;TSRA;;TSRA ;Thunderstorm Rain;CB
18975;Hujan;Jan;06/01/2024;02.30;I Gusti Ngurah Rai (WADD);3;;FALSE;9999;;TS;;TS;Thunderstorm;
18976;Hujan;Jan;06/01/2024;03.00;I Gusti Ngurah Rai (WADD);7;;FALSE;6000;;TS;;TS;Thunderstorm;
19279;Hujan;Jan;06/01/2024;03.30;I Gusti Ngurah Rai (WADD);18;18;FALSE;2000;2000;TSRA;;TSRA ;Thunderstorm Rain;
19280;Hujan;Jan;06/01/2024;04.00;I Gusti Ngurah Rai (WADD);10;;FALSE;5000;;-TSRA;;-TSRA;Light Thunderstorm Rain;
19281;Hujan;Feb;06/02/2024;20.30;I Gusti Ngurah Rai (WADD);10;;FALSE;2000;2000;+RA;;+RA;Heavy Rain;
19282;Peralihan 1;Mar;06/03/2024;16.30;I Gusti Ngurah Rai (WADD);1;;FALSE;9999;;TS;;TS;Thunderstorm;
19283;Peralihan 1;Mar;06/03/2024;17.00;I Gusti Ngurah Rai (WADD);6;;FALSE;6000;;-TSRA;;-TSRA;Light Thunderstorm Rain;
19284;Peralihan 1;Mar;06/03/2024;17.30;I Gusti Ngurah Rai (WADD);3;;FALSE;9999;;TS;;TS;Thunderstorm;
19285;Peralihan 1;Mar;06/03/2024;18.00;I Gusti Ngurah Rai (WADD);2;;FALSE;9999;;TS;;TS;Thunderstorm;
19286;Peralihan 1;Apr;06/04/2024;19.00;I Gusti Ngurah Rai (WADD);10;;FALSE;8000;;-TSRA;;-TSRA;Light Thunderstorm Rain;
19293;Peralihan 1;Apr;06/04/2024;19.30;I Gusti Ngurah Rai (WADD);10;;FALSE;8000;;-TSRA;;-TSRA;Light Thunderstorm Rain;
19387;Hujan;Des;06/12/2024;01.30;I Gusti Ngurah Rai (WADD);4;;FALSE;4000;4000;TSRA;;TSRA ;Thunderstorm Rain;
19526;Hujan;Des;06/12/2024;02.00;I Gusti Ngurah Rai (WADD);3;;FALSE;4000;4000;TSRA;;TSRA ;Thunderstorm Rain;
19527;Hujan;Des;06/12/2024;02.30;I Gusti Ngurah Rai (WADD);4;;FALSE;6000;;-TSRA;;-TSRA;Light Thunderstorm Rain;
19761;Hujan;Jan;07/01/2024;07.30;I Gusti Ngurah Rai (WADD);8;;FALSE;8000;;TS;;TS;Thunderstorm;
19782;Hujan;Jan;07/01/2024;08.00;I Gusti Ngurah Rai (WADD);6;;FALSE;8000;;TS;;TS;Thunderstorm;
19783;Peralihan 1;Mar;07/03/2024;13.00;I Gusti Ngurah Rai (WADD);5;;FALSE;9999;;TS;;TS;Thunderstorm;
19805;Peralihan 1;Mar;07/03/2024;13.30;I Gusti Ngurah Rai (WADD);5;;FALSE;9999;;TS;;TS;Thunderstorm;
19806;Peralihan 1;Mar;07/03/2024;14.00;I Gusti Ngurah Rai (WADD);3;;FALSE;9999;;TS;;TS;Thunderstorm;
19807;Peralihan 1;Mar;07/03/2024;14.30;I Gusti Ngurah Rai (WADD);15;15;FALSE;800;800;+TSRA;;+TSRA;Heavy Thunderstorm Rain;
19808;Peralihan 1;Mar;07/03/2024;15.00;I Gusti Ngurah Rai (WADD);7;;FALSE;2500;2500;TSRA;;TSRA ;Thunderstorm Rain;
19810;Kemarau;Jun;07/06/2024;18.30;I Gusti Ngurah Rai (WADD);12;12;FALSE;2000;2000;+RA;;+RA;Heavy Rain;
19811;Peralihan 2;Nov;07/11/2024;06.00;I Gusti Ngurah Rai (WADD);6;;FALSE;9999;;TS;;TS;Thunderstorm;
19812;Peralihan 2;Nov;07/11/2024;06.30;I Gusti Ngurah Rai (WADD);8;;FALSE;9999;;TS;;TS;Thunderstorm;
19813;Hujan;Feb;08/02/2024;17.00;I Gusti Ngurah Rai (WADD);5;;FALSE;6000;;-TSRA;;-TSRA;Light Thunderstorm Rain;
19814;Hujan;Feb;08/02/2024;17.30;I Gusti Ngurah Rai (WADD);7;;FALSE;5000;;-TSRA;;-TSRA;Light Thunderstorm Rain;
19815;Hujan;Feb;08/02/2024;18.00;I Gusti Ngurah Rai (WADD);5;;FALSE;5000;;-TSRA;;-TSRA;Light Thunderstorm Rain;
19816;Hujan;Feb;08/02/2024;18.30;I Gusti Ngurah Rai (WADD);6;;FALSE;3000;3000;TSRA;;TSRA ;Thunderstorm Rain;
20094;Hujan;Feb;08/02/2024;19.00;I Gusti Ngurah Rai (WADD);5;;FALSE;3000;3000;TSRA;;TSRA ;Thunderstorm Rain;
20400;Hujan;Feb;08/02/2024;19.30;I Gusti Ngurah Rai (WADD);4;;FALSE;5000;;-TSRA;;-TSRA;Light Thunderstorm Rain;
20401;Hujan;Feb;08/02/2024;20.00;I Gusti Ngurah Rai (WADD);5;;FALSE;5000;;-TSRA;;-TSRA;Light Thunderstorm Rain;
20402;Hujan;Feb;08/02/2024;21.00;I Gusti Ngurah Rai (WADD);2;;FALSE;6000;;-TSRA;;-TSRA;Light Thunderstorm Rain;
20403;Peralihan 1;Mar;08/03/2024;07.30;I Gusti Ngurah Rai (WADD);7;;FALSE;9999;;TS;;TS;Thunderstorm;
20483;Peralihan 1;Mar;08/03/2024;08.00;I Gusti Ngurah Rai (WADD);7;;FALSE;9999;;TS;;TS;Thunderstorm;
20485;Peralihan 1;Mar;08/03/2024;10.00;I Gusti Ngurah Rai (WADD);9;;FALSE;4000;4000;TSRA;;TSRA ;Thunderstorm Rain;
20507;Peralihan 1;Mar;08/03/2024;10.30;I Gusti Ngurah Rai (WADD);18;18;FALSE;300;300;+TSRA;;+TSRA;Heavy Thunderstorm Rain;
20525;Peralihan 1;Mar;08/03/2024;11.00;I Gusti Ngurah Rai (WADD);6;;FALSE;1000;1000;+TSRA;;+TSRA;Heavy Thunderstorm Rain;
20526;Peralihan 1;Mar;08/03/2024;11.30;I Gusti Ngurah Rai (WADD);10;;FALSE;5000;;-TSRA;;-TSRA;Light Thunderstorm Rain;
20527;Peralihan 1;Mar;08/03/2024;12.00;I Gusti Ngurah Rai (WADD);9;;FALSE;5000;;-TSRA;;-TSRA;Light Thunderstorm Rain;
20528;Peralihan 1;Mar;08/03/2024;12.30;I Gusti Ngurah Rai (WADD);8;;FALSE;4000;4000;TSRA;;TSRA ;Thunderstorm Rain;
20578;Peralihan 2;Nov;08/11/2024;07.00;I Gusti Ngurah Rai (WADD);6;;FALSE;9999;;TS;;TS;Thunderstorm;
20579;Peralihan 2;Nov;08/11/2024;07.30;I Gusti Ngurah Rai (WADD);10;;FALSE;8000;;TS;;TS;Thunderstorm;
20927;Peralihan 2;Nov;08/11/2024;08.00;I Gusti Ngurah Rai (WADD);10;;FALSE;4000;4000;TSRA;;TSRA ;Thunderstorm Rain;
20928;Peralihan 2;Nov;08/11/2024;10.30;I Gusti Ngurah Rai (WADD);4;;FALSE;9999;;TS;;TS;Thunderstorm;
20929;Peralihan 2;Nov;08/11/2024;11.00;I Gusti Ngurah Rai (WADD);4;;FALSE;8000;;-TSRA;;-TSRA;Light Thunderstorm Rain;
20987;Peralihan 2;Nov;08/11/2024;11.30;I Gusti Ngurah Rai (WADD);7;;FALSE;3000;3000;TSRA;;TSRA ;Thunderstorm Rain;
20988;Peralihan 2;Nov;08/11/2024;12.00;I Gusti Ngurah Rai (WADD);1;;FALSE;8000;;-TSRA;;-TSRA;Light Thunderstorm Rain;
21053;Peralihan 2;Nov;08/11/2024;17.00;I Gusti Ngurah Rai (WADD);2;;FALSE;9999;;TS;;TS;Thunderstorm;
21067;Peralihan 2;Nov;08/11/2024;17.30;I Gusti Ngurah Rai (WADD);2;;FALSE;9999;;TS;;TS;Thunderstorm;
21094;Peralihan 2;Nov;08/11/2024;18.00;I Gusti Ngurah Rai (WADD);6;;FALSE;8000;;-TSRA;;-TSRA;Light Thunderstorm Rain;
21095;Peralihan 2;Nov;08/11/2024;18.30;I Gusti Ngurah Rai (WADD);4;;FALSE;7000;;-TSRA;;-TSRA;Light Thunderstorm Rain;
21096;Hujan;Des;08/12/2024;15.00;I Gusti Ngurah Rai (WADD);14;14;TRUE;700;700;+RA;;+RA;Heavy Rain;
21097;Hujan;Feb;09/02/2024;18.00;I Gusti Ngurah Rai (WADD);9;;FALSE;8000;;-TSRA;;-TSRA;Light Thunderstorm Rain;
